"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"27/07/2012","Cragreagh, Pallaskenry","","Limerick","€180,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/07/2012","Dromtrasna Collins, Abbeyfeale","","Limerick","€71,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/07/2012","Main Street, Shanagolden","","Limerick","€110,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/07/2012","'The Bungalow', North Circular Road","","Limerick","€300,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/07/2012","4A Rossavillas, Garryowen, Limerick","","Limerick","€22,500.00","Yes","Second-Hand Dwelling house /Apartment",""
"31/07/2012","54  Ballyvoreen, Kildimo","","Limerick","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/07/2012","6 The Paddocks, Bruree","","Limerick","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/07/2012","Geragh, Anglesboro, Kilmallock","","Limerick","€14,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/07/2012","Kilready, Castlemahon","","Limerick","€60,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/07/2012","mount gerard, oconnell ave.","","Limerick","€488,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","18 CLONARD, WESTBURY","","Limerick","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","36 Salmon Weir, Annacotty","","Limerick","€240,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","37 Brookville Avenue, Clareview, Limerick","","Limerick","€151,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","Ashbourne Avenue, South Circular Road","","Limerick","€499,500.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","Ballaugh, Abbeyfeale","","Limerick","€138,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","Carrig Rhu, (otherwise 49 Revington Park, North Circular Road","","Limerick","€350,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/08/2012","Mongfune, Murroe","","Limerick","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
